,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle4_run8,279930,279714,279498,279282,279066,278850,279924,279918,279708,279912,272154,279492,279276,279702,279906,279060,279486,278844,279900,264378
grid0_cycle5_run8,279930,279714,279498,279282,279066,278850,279924,279918,279708,279492,272154,279912,279276,279702,279060,278844,279486,279906,279270,271938
grid0_cycle1_run9,279930,279714,279498,279282,279066,278850,272154,279924,271938,271722,264378,271506,279708,271290,279492,271074,279276,279918,279060,264162
grid0_cycle2_run9,279930,279714,279498,279282,279066,278850,272154,279924,264378,279918,271938,256602,279708,279894,271722,279912,279492,271506,264162,248826
grid0_cycle3_run9,279930,279714,279498,279282,279066,278850,279924,272154,279918,279708,279492,271938,264378,279276,271722,279060,271506,279912,278844,279702
grid0_cycle4_run9,279930,279714,279498,279282,279066,278850,279924,279918,279708,279912,279492,279276,279702,279906,279060,279486,279900,278844,279270,279696
grid0_cycle5_run9,279930,279714,279498,279282,279066,278850,279924,279708,279918,279492,279276,279060,278844,279702,279912,279486,279270,279054,278838,279696
grid0_cycle1_run10,279930,279714,279931,279498,279282,279066,278850,279715,279499,279283,279067,278851,279924,279932,279918,279708,279925,279492,279894,279716
grid0_cycle2_run10,279930,279714,279498,279282,279066,278850,279924,279708,279492,279276,279060,278844,279918,279702,279486,279270,279894,279054,279931,278838
grid0_cycle3_run10,279930,279714,279498,279282,279066,278850,279924,279918,279931,272154,279912,279708,279492,279894,264378,279906,279702,279276,279715,279900
grid0_cycle4_run10,279930,279714,279498,279282,279924,279066,278850,279918,279931,272154,279912,279894,279708,264378,279906,279492,279900,279702,279858,279715
grid0_cycle5_run10,279930,279714,279498,279282,279066,278850,279924,279931,272154,279918,279894,279708,279912,264378,279492,279715,279276,271938,279702,279858
grid0_cycle1_run11,278850,279066,279282,279498,279714,279930,278844,279060,279276,279492,279708,278838,279054,279270,279924,279486,279702,278832,279048,279264
grid0_cycle2_run11,279930,279924,279918,279912,279906,279714,279900,279498,279282,279708,279702,279066,279492,279696,278850,279486,279690,279684,279276,279480
grid0_cycle3_run11,279930,279714,279498,279282,279924,279066,278850,279918,279912,279708,279492,279906,279702,279276,279900,279486,279060,279696,278844,279270
grid0_cycle4_run11,279930,279714,279498,279924,279282,279918,279066,278850,279912,279906,279708,279900,279492,279702,279276,279486,279696,279060,279270,278844
grid0_cycle5_run11,279930,279714,279498,279282,279066,278850,279924,279918,279708,279912,279492,279276,279702,279060,279906,279486,278844,279900,279270,279696
grid0_cycle1_run12,278850,279066,279282,279498,279714,279930,277554,277770,277986,278202,278418,278634,276258,276474,276690,276906,277122,277338,274962,275178
grid0_cycle2_run12,278850,279066,279282,279498,279714,279930,278844,271074,279060,271290,279276,271506,279492,271722,278838,279708,263298,279054,271938,263514
grid0_cycle3_run12,279930,279714,279498,279282,279066,278850,279924,272154,279708,279492,279276,279918,279060,278844,271938,271722,271506,271290,279702,271074
grid0_cycle4_run12,279930,279714,279498,279282,279066,278850,279924,272154,279918,279708,279492,279276,271938,264378,279060,271722,278844,279912,279702,271506
grid0_cycle5_run12,279930,279714,279498,279282,279066,278850,279924,279708,279492,279276,279060,278844,272154,271938,271722,271506,271290,271074,279918,279702
grid0_cycle1_run13,279930,279924,279918,279912,279906,279900,279894,279714,279858,279888,279498,272154,279882,279708,279822,279876,279702,278634,279852,279870
grid0_cycle2_run13,279930,279714,279498,279924,279282,279918,272154,279066,278850,279894,279912,264378,279708,279906,279858,279900,279492,256602,278634,279702
grid0_cycle3_run13,279930,279714,279498,279282,279066,279924,278850,279918,279912,279708,279492,272154,279906,279702,279276,279900,279894,279486,279060,278844
grid0_cycle4_run13,279930,279714,279498,279282,279066,278850,279924,279918,279912,279708,279492,279906,279702,279276,279900,279486,279060,278844,279696,279270
grid0_cycle5_run13,279930,279714,279498,279282,279066,278850,279924,279918,279708,279492,279276,279912,279060,279702,278844,279486,279270,279906,279054,279696
grid0_cycle1_run14,278850,279066,279282,279498,279714,279930,278844,271074,279060,271290,279276,271506,278838,279492,279054,263298,271722,263514,279708,279270
grid0_cycle2_run14,279930,279714,279498,279282,279066,278850,272154,271938,271722,271506,271290,271074,279924,279708,279492,279276,279060,278844,264378,264162
grid0_cycle3_run14,279930,279714,279498,279282,279066,278850,272154,279924,264378,279918,271938,279708,271722,256602,279492,271506,264162,279276,271290,279912
grid0_cycle4_run14,279930,279714,279498,279924,279282,272154,279066,279918,278850,264378,279912,256602,279708,271938,279906,279492,279900,248826,271722,279702
grid0_cycle5_run14,279930,279714,279498,279282,279924,279066,278850,272154,279918,279912,264378,279708,279906,279492,256602,279900,279894,271938,279702,279276
grid0_cycle1_run15,278850,279066,279282,279498,279714,271074,271290,278844,263298,279060,271506,263514,278814,278838,279276,279930,271722,255522,263730,279030
grid0_cycle2_run15,278850,279066,279282,279498,279714,279930,278844,279060,279276,279492,279708,278838,279054,279270,279486,279924,279702,278832,279048,279264
grid0_cycle3_run15,278850,279066,279282,279498,279714,278844,279930,279060,279276,278838,279054,279492,279270,279708,278832,279048,279486,279264,279702,271074
grid0_cycle4_run15,278850,279066,279282,279498,279714,278844,279060,279930,279276,278838,279054,279492,279270,278832,279708,279048,279486,271074,279264,271290
