,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle4_run8,264378,272154,256602,264162,271938,271932,263946,272148,271716,271500,264372,271722,271284,271068,263730,264156,256386,263940,271506,263724
grid0_cycle5_run8,271074,271068,271290,278628,271284,279930,271506,271500,271722,279714,279498,279924,279282,271938,279066,271716,278850,278412,279708,263292
grid0_cycle1_run9,279912,272130,279918,264348,272124,264354,271908,272136,279924,256572,271692,271914,256578,264132,271698,264360,248796,263916,279906,272142
grid0_cycle2_run9,279708,279930,279492,279276,272154,270420,270636,270204,279924,279270,279486,278412,279060,278196,279054,279702,278634,271932,269988,262644
grid0_cycle3_run9,278850,279066,279282,279498,279714,279930,272142,271932,271716,271500,271284,271068,272148,271926,271710,272136,271494,270852,271278,271062
grid0_cycle4_run9,272148,272154,264372,272142,279930,264366,271932,279708,278850,279924,264378,279066,279714,279492,270852,271926,263076,270858,278844,279282
grid0_cycle5_run9,272148,271932,271716,271500,271284,271068,279708,279492,278844,279276,279060,279924,264372,272142,272154,264156,271926,263940,270858,263724
grid0_cycle1_run10,271068,271284,278850,271500,271062,279066,279282,271278,279498,271716,271494,279714,271056,271932,263292,271074,271272,271710,263508,271290
grid0_cycle2_run10,278850,271722,279066,271506,279282,264162,271290,271938,271074,263946,279498,263730,256386,263514,263298,279714,256170,255954,248610,255738
grid0_cycle3_run10,263298,263514,272154,263730,271938,263946,271722,271506,271290,264162,271074,271939,271723,271507,271291,271075,263299,263515,272155,255522
grid0_cycle4_run10,278850,279066,279282,279498,279714,271074,271290,271506,271722,279930,271938,279924,263298,263514,271284,271500,271068,263730,271716,272154
grid0_cycle5_run10,271722,271506,271938,271290,271074,272154,263298,263514,263730,263946,264162,272148,264156,264372,263940,279714,271932,279498,279282,263724
grid0_cycle1_run11,278850,279066,279282,279498,279714,279930,278851,279067,271074,271290,279283,271506,279499,271722,279715,271938,263298,277986,279276,263514
grid0_cycle2_run11,279714,279930,279498,279282,279066,278850,279708,279492,271938,272154,279276,271722,279486,279060,271506,278844,279270,271290,271074,279702
grid0_cycle3_run11,279282,279066,278850,279498,279714,271506,271722,279930,271290,271938,263946,271074,264162,263730,272154,271500,271284,278814,271716,263514
grid0_cycle4_run11,278850,279066,279282,279498,279714,278844,279060,279276,279492,279708,279930,279924,271290,271506,271722,271938,271074,278838,279054,279270
grid0_cycle5_run11,271722,271938,271506,279714,271290,279930,279498,271074,279282,279066,278850,272154,264162,263946,263730,263514,271254,279708,270606,271038
grid0_cycle1_run12,279492,279708,279276,271932,279486,279060,279270,272148,279702,279493,271716,279277,279709,272142,279054,279924,264372,271926,278844,272149
grid0_cycle2_run12,271932,271716,271926,271896,272148,272142,271500,271680,271710,264156,264372,264366,271494,272112,264150,271890,264120,272106,263940,271278
grid0_cycle3_run12,271932,271926,271716,271710,264156,271722,271920,264150,270636,271500,271938,271506,279708,263940,270420,272148,270630,271704,279492,271290
grid0_cycle4_run12,278850,279066,279282,279498,279714,279930,271938,271722,272154,279246,279462,271506,279030,279678,278814,271290,271074,272118,278851,279067
grid0_cycle5_run12,279930,279714,279498,279282,279066,278850,278844,279060,279715,279931,279276,279492,279499,279708,279283,279067,278851,279924,278838,279054
grid0_cycle1_run13,279606,279390,279642,279426,279570,279354,279210,279462,279174,279678,279534,279246,279318,279138,278994,279030,278958,278778,278814,279102
grid0_cycle2_run13,278844,279060,279276,278850,279492,279066,279708,279282,279498,278814,277980,278196,277764,279030,278412,279714,277548,279246,270630,278406
grid0_cycle3_run13,278850,271074,279066,271290,279282,279498,271506,271068,271284,279714,271500,271722,271716,279060,278844,279276,271938,279492,279708,263292
grid0_cycle4_run13,279930,279714,279498,279282,279066,278850,278844,279060,279276,279492,279708,271722,271938,271506,278838,271290,271074,277548,279894,279054
grid0_cycle5_run13,278850,279066,279282,279498,279714,278844,279060,271074,279276,271290,279492,279708,271506,277764,277548,277980,278196,278412,279930,271722
grid0_cycle1_run14,271506,271290,278850,271074,271722,278844,279066,279060,263946,263730,271938,270636,264162,270420,270630,270414,263514,279276,271500,278838
grid0_cycle2_run14,279498,279282,279714,279066,278850,279930,279276,279060,279492,278844,271500,271284,279708,270408,271068,270624,271716,270192,270402,270186
grid0_cycle3_run14,264378,272154,271938,256602,264162,271722,279714,248826,279498,271074,271506,271290,263946,256386,263298,241050,279282,263514,263730,279066
grid0_cycle4_run14,272154,271938,271722,271506,271290,271074,263298,263514,263730,263946,264162,264378,279066,278850,279282,279498,279714,279930,272148,270858
grid0_cycle5_run14,279930,279714,279498,279282,279066,278850,271938,271722,271506,271290,271074,272154,272148,279924,271932,271716,279708,271500,263262,279492
grid0_cycle1_run15,139967,193303,193305,193306,97873,193308,193309,193310,193311,193312,97872,193314,193315,193316,193317,193318,193320,193321,193322,97867
grid0_cycle2_run15,279714,279498,271938,270426,262650,271716,271500,263940,279276,264162,279492,270642,256164,270606,263724,262392,270168,278346,270210,270132
grid0_cycle3_run15,279492,279708,279276,279486,279270,279060,279702,271500,278844,279054,279480,279264,271716,279714,271284,278838,279498,263724,279048,279696
grid0_cycle4_run15,279930,279714,279498,279282,279066,278850,270210,269994,272154,270426,269778,271938,270642,271722,277554,277770,271506,278844,277986,279060
grid0_cycle5_run15,279066,278850,279282,279498,279714,279060,278844,279276,279930,279492,279708,279270,279054,278838,279486,271278,271494,271710,271062,271488
grid0_cycle1_run16,271068,271284,271500,263292,263508,248610,248394,240834,263724,256170,255954,240618,248178,256386,255738,271716,278844,255522,240402,263940
grid0_cycle2_run16,271068,271284,271500,271716,271062,271278,271932,271494,271710,263292,263508,271926,263724,279708,263286,279492,263940,263502,279276,279924
grid0_cycle3_run16,279924,279918,279708,279492,272148,279276,279702,279060,278844,279486,279270,270426,279054,270210,278838,270642,271932,269994,269778,271716
grid0_cycle4_run16,271938,271722,271506,272154,271290,271074,279714,279498,279708,279492,279282,279276,279066,279060,270642,278844,278850,270426,271932,270636
grid0_cycle5_run16,272154,279930,279714,279498,279282,279066,278850,271938,271722,264378,271506,271290,271074,279276,279492,279060,279708,278844,272148,264162
grid0_cycle1_run17,240834,256170,248394,240618,248610,263946,256386,271722,264162,271938,271506,263730,255954,279498,248178,240402,279282,279714,279066,271290
grid0_cycle2_run17,270642,271932,270426,271716,262866,271500,272148,279714,271926,279498,279276,279060,264156,272154,279492,278844,264372,271710,270210,279708
grid0_cycle3_run17,279714,279498,278418,278202,279282,279930,277986,279066,278850,271938,271722,277770,272118,277548,277554,279894,264162,277764,271506,278634
grid0_cycle4_run17,279930,272154,264378,279714,278634,279498,279282,271938,270858,264162,263082,279066,271722,278850,263946,271506,278418,263730,271290,279924
grid0_cycle5_run17,279930,272154,279714,279498,279282,271938,279066,264378,278850,264162,271722,263946,271506,263730,271290,271074,263514,263298,279924,279894
grid0_cycle1_run18,271938,279708,279702,271722,264162,279492,279696,279714,279498,271939,263946,279709,279282,271506,272154,279486,271723,262866,279703,279924
grid0_cycle2_run18,264378,272154,256602,272148,271938,264372,248826,272142,279708,264162,271722,256596,264366,262650,279702,241050,279924,255090,254874,262434
grid0_cycle3_run18,279066,279282,279498,279714,278850,272154,271938,264378,279492,279930,271722,279708,279702,279276,271506,279486,272148,279060,279696,279924
grid0_cycle4_run18,278850,279066,271938,279282,279498,271722,279714,279060,279276,272154,272148,278844,264378,279492,271506,279486,279708,279702,279270,272142
grid0_cycle5_run18,278850,279066,279282,279498,279714,272154,271938,271722,271506,271290,271074,264378,279930,272148,279276,279492,279060,278844,279708,264162
grid0_cycle1_run19,279930,279714,278634,279498,277338,278418,279924,277122,276042,279282,278202,279708,275826,276906,279066,274746,271284,271068,271722,277986
