,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle4_run8,264378,263730,272154,263514,263946,279930,271506,271722,271500,271074,263298,264162,271938,279498,271068,271290,272148,271284,263724,263292
grid0_cycle5_run8,279930,272154,279714,271938,271074,271290,271722,278850,271506,264378,263514,263730,279498,279066,263298,279282,263946,256602,264162,279924
grid0_cycle1_run9,279498,271722,278202,279714,270426,263946,263730,271938,256170,255954,278418,279930,272154,270642,264162,279492,262650,271716,279708,256386
grid0_cycle2_run9,279714,279498,271938,271722,279930,279282,271506,272154,278418,278202,270426,270642,278634,277986,270210,270858,279924,272148,279708,271932
grid0_cycle3_run9,279714,271938,278418,263508,270642,264162,263514,279708,262866,263946,255732,279702,279930,256386,263730,262212,279498,255090,279060,262218
grid0_cycle4_run9,279714,271938,279708,271932,264162,263508,279930,271284,279498,271722,278418,279924,264156,271926,272154,263946,279060,271500,272148,279492
grid0_cycle5_run9,271938,279714,272154,264162,279930,264378,256386,271284,256602,271722,279708,279924,271932,271506,279498,271500,264150,272148,279702,264156
grid0_cycle1_run10,271500,271506,263724,263730,279276,271716,263940,279282,271722,264366,263946,270204,270210,264372,271932,264156,271938,272148,270420,264162
grid0_cycle2_run10,271722,263946,271506,263730,279498,262650,279282,264162,262434,270426,270210,271938,278202,279714,262866,277986,270642,264378,263082,272154
grid0_cycle3_run10,279714,279498,278418,278202,279282,277986,279708,279492,278412,264156,278196,264162,271938,271932,271722,262860,277980,279276,271716,271506
grid0_cycle4_run10,279282,279714,279498,279930,279066,278850,263946,263730,264162,277986,271506,271722,278202,278418,271938,263514,277554,277770,278634,263298
grid0_cycle5_run10,278850,279066,279498,279282,263946,256386,271722,278844,279714,256170,279060,263730,279492,264162,271506,263514,271938,256380,278418,263940
grid0_cycle1_run11,262002,261966,263298,262434,262218,269778,263082,262866,262650,262182,263262,262398,264162,264378,263730,263946,277554,263514,262614,271074
grid0_cycle2_run11,263730,264378,263514,263298,279282,262434,271506,263946,262218,262002,263082,279066,278850,279930,277986,271074,271290,262650,264162,272154
grid0_cycle3_run11,277770,279066,279282,277554,278850,279498,279930,271290,277986,279714,269994,262218,271506,263514,263730,277764,277980,262428,278202,262002
grid0_cycle4_run11,279282,271506,279066,271290,279498,278850,271722,271074,279714,279276,279930,277770,271938,279060,271500,272154,269994,277986,277764,263730
grid0_cycle5_run11,271506,279282,271290,279066,271722,279498,271074,278850,279930,272154,279714,271938,263730,263514,263946,255954,263298,271500,279276,277770
grid0_cycle1_run12,263946,264372,264378,263940,264366,262650,264156,271722,264162,263076,262644,263730,263082,271716,279498,263070,271710,263724,262860,278202
grid0_cycle2_run12,271500,271506,270210,270204,271722,271716,270426,270420,277986,278202,277980,278196,279282,279276,279498,263292,263298,279492,263724,263730
grid0_cycle3_run12,278202,271722,270426,277986,270210,278850,271074,277980,279498,278844,278196,263946,271506,271068,270204,263730,271716,279930,279282,279492
grid0_cycle4_run12,277986,278202,270426,270210,263730,255954,263946,262650,262434,254658,256170,254874,271722,271506,279498,279282,263298,271074,278850,263514
grid0_cycle5_run12,263292,263298,255516,271722,255522,271716,263946,263940,263730,279498,271500,271506,263724,270426,279492,278202,279924,279930,264372,272148
grid0_cycle1_run13,264378,264162,256602,256386,263730,264372,264156,263514,256596,255954,256380,263298,255738,263724,264366,264150,263082,262866,263070,262854
grid0_cycle2_run13,263508,263514,279060,263502,263292,279066,263298,263724,263730,264156,264372,264162,263940,263946,264378,278844,263286,264366,278850,263718
grid0_cycle3_run13,263514,263730,263946,279066,264162,279282,271290,271506,263724,264378,263508,263940,262428,272154,271722,279930,262434,279498,262650,271938
grid0_cycle4_run13,263514,279930,264162,279066,264378,263730,271290,272154,279282,263946,271506,279924,263724,263508,264372,279714,271938,279276,279060,264156
grid0_cycle5_run13,279930,278634,272154,279066,270858,279282,264162,262866,264378,263082,278628,278850,279924,278622,277986,263070,279918,263946,270852,263730
grid0_cycle1_run14,271074,271722,263946,278850,271506,271290,263298,279498,271686,256170,271038,271938,271716,272154,263730,271068,255522,256602,256386,279282
