,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle4_run8,272148,271722,279024,279030,279060,271032,271506,271500,279240,279246,279276,271470,271464,279282,263256,263262,263292,256602,271680,256596
grid0_cycle5_run8,256386,279714,264378,256602,279930,271938,272154,264162,279498,271722,255522,279066,263946,279282,271290,263298,255954,263514,255738,263730
grid0_cycle1_run9,279894,279858,272118,272082,279888,279852,272154,272112,278598,272076,278562,270822,270786,279930,279882,279846,272106,278592,272070,278556
grid0_cycle2_run9,272154,279930,271290,271074,263298,263514,279066,278850,271938,279714,264378,271506,271722,263730,264162,279282,279498,272148,279924,270858
grid0_cycle3_run9,271290,271074,271506,271722,272154,271938,263514,263298,263730,263946,271068,271284,264378,264162,271716,271500,263292,263508,271062,271278
grid0_cycle4_run9,279282,279498,279066,278850,279930,279714,271506,271290,271074,271722,271938,272154,278202,277986,277770,277554,278418,278634,269778,270210
grid0_cycle5_run9,271938,272154,271722,279930,279714,279498,271506,271290,271074,279282,279066,278850,271932,272148,264378,264162,279924,279708,271716,263946
grid0_cycle1_run10,277974,270198,277758,262422,279270,278190,269982,262206,271494,279054,270414,263718,279486,262638,271278,263502,277980,278406,278622,277938
grid0_cycle2_run10,279930,279924,279714,279708,278634,278628,272148,272154,270852,264372,263076,279918,270858,264378,263082,278418,278412,271932,278622,271938
grid0_cycle3_run10,279066,271290,271284,271278,279054,279060,279048,271272,277764,277758,277770,269982,269988,269994,263514,263502,263508,277752,269976,279918
grid0_cycle4_run10,268692,268440,278346,268662,268656,268626,268620,268482,268476,268446,268410,263874,268404,276180,276186,276216,276222,276252,276258,263904
grid0_cycle5_run10,278634,277770,256170,277764,256164,277758,270414,256158,269994,271932,263946,263940,262644,263934,254646,254652,254658,270420,270426,256386
grid0_cycle1_run11,262650,263946,262866,263082,264162,264378,262434,262218,270426,263730,254874,263514,278202,271722,270642,256170,262644,255090,270858,262860
grid0_cycle2_run11,264378,272154,279930,263082,270858,263946,278634,271722,264162,271938,279498,279714,264372,272118,279894,264342,263076,272148,270852,279924
grid0_cycle3_run11,264378,272154,279930,256602,264342,263946,264162,272118,279894,263082,271722,271938,279714,279498,270858,278634,256566,264306,256386,256170
grid0_cycle4_run11,279930,272154,264378,278850,279714,279498,279282,279066,263514,271506,271290,271074,271938,264162,263298,271722,263946,263730,256602,279894
grid0_cycle5_run11,279894,279930,272154,272118,264342,256566,256602,264378,271470,279714,271722,271506,279498,271254,279030,271686,271290,271938,279066,279678
grid0_cycle1_run12,279894,279876,279930,279888,279882,264324,272100,279912,272118,264342,279870,279864,272154,272112,279924,264378,264330,272106,264360,279918
grid0_cycle2_run12,278592,279918,279882,278586,278616,279888,278622,279894,278628,278634,278580,278598,279912,279876,279930,279924,277326,277332,277290,277296
grid0_cycle3_run12,278598,279894,278634,279930,277302,279858,270822,272118,278562,277338,278580,278586,279882,279876,278592,279888,270858,272082,272154,270786
grid0_cycle4_run12,278598,278634,279930,279894,277338,277302,279924,278592,279888,278628,277554,277518,279066,278850,277770,278814,277734,279030,279462,279714
grid0_cycle5_run12,278850,279066,279282,277770,277554,278202,278418,279714,278634,279930,279498,277986,270642,262434,263082,271722,262866,270858,271938,271074
grid0_cycle1_run13,271938,271722,271506,264162,263946,272154,263730,264378,279714,279498,279282,279930,270642,270426,270210,270858,271932,278418,271716,278202
grid0_cycle2_run13,264372,264378,264156,264162,272148,279924,263298,272154,279930,256602,256596,263292,263724,263508,263940,279708,271932,263946,263514,263730
grid0_cycle3_run13,279498,279492,278202,278196,279714,279708,278418,278412,279276,279282,277980,277986,279924,279930,278634,278628,279060,278844,279066,278850
grid0_cycle4_run13,278628,279924,278634,278196,278418,278412,279708,279714,278202,279492,279498,279930,279276,277554,278850,279066,279060,277980,278844,277770
grid0_cycle5_run13,279924,279276,279282,279930,278850,279060,279492,279498,278844,279066,279714,279708,277770,277554,277764,278412,278196,278634,278628,277980
grid0_cycle1_run14,278850,279066,279714,279498,279282,279930,278814,279030,278844,277554,279060,277770,279678,279462,279708,279492,278418,279246,277518,279276
grid0_cycle2_run14,278634,278628,279930,279924,278418,278412,279714,279708,278202,277554,277770,278196,279498,277986,279066,278850,277764,277548,279282,270858
grid0_cycle3_run14,279930,279282,279714,279066,279498,279924,278634,279492,279276,279060,279708,278202,277986,277770,278418,278628,278850,277764,277980,278196
grid0_cycle4_run14,279498,272154,279066,278850,279282,279930,271722,271506,271290,271074,271938,279714,277554,269778,277986,270642,278634,270426,270210,277770
grid0_cycle5_run14,263298,263514,271290,278850,271074,279066,272154,264162,271722,271938,263946,264378,263730,279282,279498,279930,279714,271506,269994,269778
grid0_cycle1_run15,279930,279714,272154,271938,279282,279498,279894,279678,271506,271722,278850,279066,272118,271902,271074,271290,279702,279918,278418,278634
grid0_cycle2_run15,279714,279930,271938,272154,279924,279918,279708,279702,256386,256602,272148,272142,271926,271932,264378,264162,279498,271722,256590,256380
grid0_cycle3_run15,279714,279918,279708,279930,279702,279924,271938,272148,271926,272142,271932,272154,279498,279486,279492,278622,278418,278412,278628,278406
grid0_cycle4_run15,263286,263718,279054,279486,279702,271926,263502,264150,271062,279918,264366,271494,278838,271710,272142,279270,271278,263934,261990,262638
grid0_cycle5_run15,270630,262860,270846,272148,272142,270636,278622,278418,278628,278634,278412,270642,278406,279702,264372,279708,279714,271938,263082,263076
grid0_cycle1_run16,278598,231942,278634,231978,279894,263046,270822,263082,270858,278562,278592,233238,279858,216390,224166,216426,224202,231906,279930,277302
grid0_cycle2_run16,277548,277512,277728,277764,277476,277692,277770,277518,277554,277734,277944,277980,277698,277482,269736,269772,278808,278844,261960,261996
grid0_cycle3_run16,269772,269988,269778,269736,269994,269742,269952,269958,271284,271068,271074,271248,271254,271290,271038,271032,277734,277518,277512,277764
grid0_cycle4_run16,271722,270636,270852,270858,270426,271716,271932,270420,271938,272148,272154,270642,271068,271074,269772,269778,269994,271290,271500,270204
grid0_cycle5_run16,278412,270858,271932,271938,270636,279714,279708,272154,278634,270852,278628,272148,279924,278418,270642,279930,269772,270420,279066,271506
grid0_cycle1_run17,279060,278850,279066,278844,278808,278814,279024,279030,232404,232188,232194,232410,232152,232158,232368,232374,271068,271074,271290,271284
grid0_cycle2_run17,278850,271074,271506,279066,271290,279282,271722,279498,271938,279714,272154,279930,278814,271038,271068,278844,263298,279276,271500,279060
grid0_cycle3_run17,278850,271074,279066,271290,263298,279282,271506,263514,279498,271722,263730,279714,271938,263946,264162,279930,272154,278844,271068,279060
grid0_cycle4_run17,271290,278850,279066,271074,279282,271506,279714,271722,279498,271938,272154,279930,271284,278844,271068,279060,263298,263514,279276,271500
grid0_cycle5_run17,279714,278850,279498,279930,272154,271506,271722,271074,279282,271290,271938,279066,263514,263298,263730,264378,264162,263946,278634,270210
grid0_cycle1_run18,278562,270786,270822,278598,279894,279858,231942,231906,224166,224130,233202,233238,270858,278634,279930,272118,272082,270750,278526,224202
grid0_cycle2_run18,216414,231930,263034,263040,263046,263070,263076,263082,264336,264342,264366,264372,264378,272154,272148,272142,278586,272118,272112,278592
grid0_cycle3_run18,263046,264378,279894,272154,270822,278598,255270,270858,272118,263082,256566,279930,278634,256602,264342,255306,231978,233274,216390,224166
grid0_cycle4_run18,279930,279924,278628,278634,279918,278622,272148,263082,263076,270852,264372,264378,272154,270858,233274,231978,233268,231972,264366,263070
grid0_cycle5_run18,277980,278844,279486,279492,279498,278418,278412,278406,278850,277974,279066,278838,277764,277986,278202,278196,277554,279054,277548,278190
grid0_cycle1_run19,263910,263478,263262,271686,264126,271254,263694,271038,263946,264342,263514,264120,271902,271470,263298,271722,263904,264336,272118,264162
grid0_cycle2_run19,264150,264162,264156,264144,264114,264120,264126,264108,279702,271926,264366,271920,279696,271938,271932,279708,279714,264372,264378,264360
grid0_cycle3_run19,264162,271938,256386,279714,264156,271932,264150,271926,256380,256374,279708,279702,271722,263946,256170,272154,264378,256602,279498,263934
grid0_cycle4_run19,271500,264162,255732,271932,271290,256380,263292,263298,264372,271722,256602,263940,256164,256170,256596,263946,256386,271716,279498,279492
grid0_cycle5_run19,264378,272142,272154,278628,278622,270852,270636,271938,263082,271926,279702,263076,263070,270630,270846,279708,272148,271932,262854,279918
grid0_cycle1_run20,279714,271938,279930,272154,279708,278418,233058,279702,279678,271932,270642,225282,271926,279924,278634,233274,271902,279918,279894,272148
grid0_cycle2_run20,279714,279930,278418,279498,278634,278202,279708,279678,279924,279894,279492,278382,278412,279462,279702,271938,279918,278598,278628,272154
grid0_cycle3_run20,279702,279714,279708,279486,279492,279498,279270,279282,279276,279918,279924,279930,279054,279060,279066,278838,278850,278844,278418,278412
grid0_cycle4_run20,279492,279708,279486,279702,279924,279498,279918,279930,279714,279282,279270,279276,279678,279888,279450,279456,279882,279462,279666,279894
grid0_cycle5_run20,278406,278622,279270,279702,277758,279918,277542,279486,279054,278190,278838,277974,279276,277980,279492,278628,279060,278844,277548,278412
grid0_cycle1_run21,206910,208206,207126,209502,208422,253566,254862,209718,253782,256158,255078,207774,207558,207990,206478,206694,256374,206916,207132,209286
grid0_cycle2_run21,254646,262422,255942,254652,263718,262428,255948,263724,254658,262434,254862,255954,254640,255294,255078,262638,263730,262416,263070,262854
grid0_cycle3_run21,256386,256374,255954,255942,256380,256602,256590,255948,256170,256596,256158,255090,255078,256164,254658,254646,255084,253794,255306,253782
grid0_cycle4_run21,271938,256602,264378,256386,279930,264162,279714,272154,262866,255306,278634,255090,270642,263082,278418,270858,256566,256350,264342,279894
