,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
grid0_cycle4_run8,263910,263478,263694,263262,263946,263514,263730,263298,255918,256134,255702,255486,255954,256170,255738,271686,271254,271470,264126,279462
grid0_cycle5_run8,271686,263910,271470,256134,263694,255918,271254,263478,255702,279462,279246,279030,270174,263262,271722,255486,271038,263946,271506,278814
grid0_cycle1_run9,279935,163938,164114,164113,164112,164111,164110,164109,164108,164107,164106,163943,163942,163941,163940,163939,163937,163903,163936,163935
grid0_cycle2_run9,278808,271032,278802,263256,271026,263262,278814,271038,255480,279024,271248,255486,263250,224376,263472,278844,271068,278838,263478,216600
grid0_cycle3_run9,278844,278850,271068,263292,271074,263298,255516,255522,263508,263514,255732,255738,263730,263724,271284,271290,255954,255948,264162,264378
grid0_cycle4_run9,271068,278844,271284,269772,277548,277554,269778,271074,278850,269988,269994,271290,279060,277764,277770,279066,270204,262428,270210,261996
grid0_cycle5_run9,278634,270858,277554,278418,277986,278202,277770,270642,269778,270210,270426,278844,277548,269994,278628,270852,271068,277764,269772,269988
grid1_cycle1_run0,254436,254430,255732,254442,255738,255726,254868,256164,254652,254862,256170,256158,262212,254874,256596,254646,254658,255948,256380,263508
grid1_cycle2_run0,254658,255954,254874,256170,270210,271506,270426,271722,255090,272154,271938,256386,279498,262434,263730,279282,269994,255306,271290,256602
grid1_cycle3_run0,271722,279498,271938,271506,272154,270426,263946,271290,256170,271716,279714,279282,279930,264162,264378,278202,256386,279066,256602,270210
grid1_cycle4_run0,279498,263946,271722,264162,256170,264378,279714,263514,271938,256386,263298,279066,263730,279282,256602,278202,278850,255738,254874,262650
grid1_cycle5_run0,279498,279714,271722,264162,263946,271938,256170,256386,263730,264378,271290,271506,263514,255954,272154,279066,279930,256602,255738,279282
grid1_cycle1_run1,263298,271074,263730,263514,271506,271290,259842,263292,262434,259626,262218,278850,261138,264378,267618,263946,271068,270210,260922,263724
grid1_cycle2_run1,263730,263514,271290,271506,279282,279066,262218,269994,262434,263508,263724,277770,263946,270210,271284,271500,277986,264378,264162,263298
grid1_cycle3_run1,271506,263730,263298,271290,271074,263514,256386,256602,279282,255306,278850,255954,271938,279066,271722,255300,263946,256380,256596,264162
grid1_cycle4_run1,263514,263298,263730,263946,264162,264378,255738,256386,255522,255954,256602,271074,271506,271290,256170,271722,271938,272154,278850,279066
grid1_cycle5_run1,263514,263730,263298,264378,264372,271290,264162,271074,271506,264156,263508,279066,263724,263946,278850,272154,279282,279930,263940,271938
grid1_cycle1_run2,272154,272118,270840,279930,270858,279894,278616,272136,269544,271506,271938,270822,271722,270804,270852,270846,269562,279912,225498,272148
grid1_cycle2_run2,279930,279714,278634,278418,272154,271938,270642,270858,279894,279678,271902,272118,278598,278382,279702,279918,279924,279708,278616,278400
grid1_cycle3_run2,279714,279930,271938,272154,264162,278634,279924,256386,264378,270858,278418,279708,272148,256602,271932,270642,278628,263082,255306,270852
grid1_cycle4_run2,279930,279714,272154,271938,264378,264162,256386,256602,279498,271722,256170,263946,279282,271506,255954,263730,278634,263082,270858,278418
grid1_cycle5_run2,264378,264162,279714,279930,271938,272154,279498,263946,271722,256602,256386,263082,262866,279924,264372,279708,256170,264156,270642,270858
grid1_cycle1_run3,264150,271926,264156,279702,271932,279708,271710,264366,279486,271716,271494,264162,264372,272142,279492,271062,271500,271068,279270,271278
grid1_cycle2_run3,279492,271716,279708,271932,279486,271710,279456,279276,279270,279702,271494,278412,271926,279672,264156,271680,271500,279462,264150,270636
grid1_cycle3_run3,279930,279714,279498,279924,279708,279492,279702,278634,279282,278418,279276,279270,279486,278628,278412,279066,278850,271926,278844,278202
grid1_cycle4_run3,279492,279276,278844,279708,279060,279924,278412,278628,279498,278196,271716,279486,263940,263724,263934,278850,263718,271500,279270,271710
grid1_cycle5_run3,262650,270426,278202,279924,279498,279282,270210,279930,278628,262434,279714,279708,277986,278418,262644,270420,278634,278412,263946,279918
grid1_cycle1_run4,263472,271284,263256,263478,271068,271248,263508,263688,255696,271290,263262,263292,271032,271500,255480,255732,271254,261960,262176,255702
grid1_cycle2_run4,269988,269994,269772,269778,269982,269766,262212,271290,271284,269952,262218,269958,262428,262206,261996,270204,262434,269736,271254,271278
grid1_cycle3_run4,269772,269778,271074,261996,262002,263298,269988,271068,263292,277548,269742,271290,277554,271038,269994,262212,254214,261990,255522,254226
grid1_cycle4_run4,271074,278850,269778,271068,269772,271290,277554,271506,271284,271500,270204,269988,277548,278844,271722,272154,279066,269994,279282,272148
grid1_cycle5_run4,271068,271074,278850,271284,278844,271290,263292,263508,279066,263940,279492,279060,279498,269772,271716,269778,263298,255516,256164,263724
grid1_cycle1_run5,279486,279270,279054,279492,279276,278838,279060,278844,279498,279282,279066,279048,279702,279480,279264,271710,271494,271278,279708,279918
grid1_cycle2_run5,279270,271494,263718,278838,279054,255942,263286,279276,271062,263502,271278,271500,279282,255510,255726,263724,271506,278844,255954,279060
grid1_cycle3_run5,279498,279282,279492,279486,279276,279270,279930,279714,279066,278850,278202,271716,271722,279924,271500,278196,277986,271506,279708,279918
grid1_cycle4_run5,279498,279492,279270,279282,278202,279486,279930,278418,278196,279276,279714,278412,278634,279924,279054,279066,278850,278838,271722,278628
grid1_cycle5_run5,279498,271722,271506,279282,263730,279492,271716,279486,279714,263514,279270,262434,271290,271710,278202,263946,271500,263724,279066,279276
grid1_cycle1_run6,255084,255300,262860,256380,263076,256374,256596,264156,264150,255078,262854,256590,270636,264372,264366,255294,279708,279702,270642,263070
grid1_cycle2_run6,254856,262632,278184,270408,277968,262416,254640,270192,277554,255072,262848,269778,270624,278400,262002,254226,262638,254430,277770,255288
grid1_cycle3_run6,263514,263298,279066,279498,278202,279282,262002,278850,262218,271290,263508,271722,277986,263730,264162,255738,271506,263082,264378,270426
grid1_cycle4_run6,264162,262866,278850,263946,263514,277554,262650,262218,256386,263730,255090,263298,262434,262002,256170,254874,279714,279498,271938,271722
grid1_cycle5_run6,263514,263946,271290,271722,263730,279066,263298,264162,256170,271074,271506,279498,279282,271938,262650,256386,278850,255954,270426,255738
grid1_cycle1_run7,262644,270420,263076,270852,262650,262002,262632,262638,270426,261996,263676,270408,270414,270636,270858,263946,262860,263070,263082,271722
grid1_cycle2_run7,271722,270210,270426,272154,271506,262434,262650,269994,255306,263082,279498,262218,277986,270642,270858,279282,264378,269778,279930,278202
grid1_cycle3_run7,279282,271506,277986,271722,270210,279498,262434,270426,271938,263730,277770,279714,278202,263946,270642,279276,262218,262650,272154,279930
grid1_cycle4_run7,264162,271938,263946,271722,279714,272154,264378,256386,262866,255090,270642,279498,279930,256170,262650,254874,270426,263730,271506,278418
grid1_cycle5_run7,264162,271938,264378,263946,271722,262866,272154,279714,263082,262650,279930,279498,270642,270426,264156,264372,270858,263508,271932,279708
grid1_cycle1_run8,255072,254856,255036,254820,254640,254424,255078,254604,254862,255090,255084,255042,254388,254874,255054,254208,254868,254826,254838,255048
grid1_cycle2_run8,277986,278418,277770,277554,278202,270210,270642,276690,269994,278634,269778,270426,277122,276474,276258,276906,270858,268914,262866,262434
grid1_cycle3_run8,263082,277986,262866,277770,278634,278850,277554,279066,263514,278418,262218,271074,271290,263298,262434,269994,270210,279282,270858,264162
grid1_cycle4_run8,262866,263082,262434,270210,277986,270858,270642,278634,278418,262650,269778,277554,270426,269994,277770,264162,278202,262218,262002,263730
grid1_cycle5_run8,264162,263730,264378,263946,263082,255306,264156,271506,277986,263298,263292,271074,271722,271068,256602,271938,263940,279282,278850,277554
grid1_cycle1_run9,264162,264378,263946,263730,271938,263910,263298,263694,272154,271722,263262,256386,263874,271506,263514,256602,264126,263658,271074,263226
grid1_cycle2_run9,271938,264162,272154,271722,264156,271932,279930,279708,263946,271074,262866,270642,279492,279714,263940,271290,263298,271716,262650,271506
grid1_cycle3_run9,263514,263946,272154,271074,271722,279066,264378,279714,271506,264162,278850,279282,279498,263298,271290,279930,263730,271938,279492,279276
grid1_cycle4_run9,272154,264378,279930,271938,256602,264162,263298,256386,263514,263946,271722,279924,256170,263730,271290,272148,271506,271074,270858,264372
grid1_cycle5_run9,279930,272154,264378,278634,256602,279924,272148,256386,263298,270858,256170,264372,279714,278628,271722,271938,263946,264162,255522,278850
grid2_cycle1_run0,264366,263940,264150,272142,271716,263934,263946,271926,264156,271722,271710,264162,263724,279918,271932,264372,263730,279702,271500,279498
grid2_cycle2_run0,271716,279282,279060,279492,279708,279702,279486,279066,279276,278844,263940,271710,279054,271284,278850,278838,271506,271932,263730,279270
grid2_cycle3_run0,279282,278850,279066,279930,279924,279714,279498,279276,279492,279708,279060,279918,278844,271506,272148,279702,271074,271290,279486,272154
grid2_cycle4_run0,256602,264378,279930,272154,263082,255306,278634,270858,256596,264372,256590,264366,272148,279924,271074,278850,271290,279066,255522,263514
grid2_cycle5_run0,271722,279066,271938,271716,271290,279714,272154,279282,272148,271932,279498,278850,278418,279930,271284,279924,279708,279060,263946,264162
