,SVR,SGD,RF,EN,kNN,GBR,NN
0,0.7506383065835079,0.3892134898713981,0.95707733813081,0.27381335587703987,0.4904116712246873,0.9287968183973617,0.8990063955030063
1,0.7484706597911245,0.38739337699616166,0.9736618026968366,0.2738133558770412,0.49205352320323786,0.9338732059234511,0.9113172158678398
2,0.7602446370515554,0.3862658504276105,0.9615884201425677,0.2738133558770376,0.4946620117133355,0.9265647636947069,0.8862041173891123
3,0.7613301384405173,0.39114955636490034,0.9678910855498147,0.295386210422546,0.5222596423098639,0.9258028146949616,0.911752173702425
4,0.7631234748276249,0.39270344884383207,0.9601191958546462,0.27381335587703887,0.5325579547655674,0.9295718068052824,0.9066617571230274
5,0.7678619988566271,0.38749177043797123,0.9706533946775332,0.27381335587704325,0.5169683131312293,0.9351202452045647,0.9245458260210412
6,0.7516792584275062,0.3873263111185402,0.9659149462149497,0.2738133558770386,0.5073565634163687,0.9319661565936949,0.9078743977431238
7,0.7419563469117808,0.38774629177983416,0.9581442698382437,0.2738133558770356,0.49260601220902606,0.932578636561851,0.9265787321623734
8,0.7607334118878271,0.3876216697585677,0.9719474237008745,0.27652940016827615,0.5580169273740776,0.9364014934668385,0.9116274535402027
9,0.7600151511414618,0.38835761958686554,0.9759330805870889,0.2980958394991603,0.5160346937032173,0.9332912421002917,0.9156377052737616
10,0.7561415703830489,0.3859171158909426,0.9747363722416209,0.28130287008342847,0.5303720785061892,0.9327291056295055,0.9122578692670362
11,0.7585544708826913,0.3905160923191931,0.9746990091766617,0.3188085283461152,0.53207506288295,0.9297467537488165,0.9223097962381797
12,0.7647564173819774,0.3854641380892717,0.969251586459696,0.3030892902421747,0.5359801179032352,0.9317414730830047,0.908457948683251
13,0.7601910577107939,0.39031469658722395,0.9727054519098747,0.2738133558770422,0.48744728486442745,0.9325406549289216,0.9117650078752212
14,0.7591659996960661,0.3915376657269638,0.9731447398006513,0.27381335587704164,0.530982381094815,0.9308799984934282,0.9161568813173734
15,0.7560572350030443,0.3885873276851042,0.966778976465026,0.27381335587703537,0.5370458415751401,0.9278146464259679,0.9197531844300845
16,0.7586171269353598,0.3893107844526531,0.96973026346115,0.273813355877039,0.5053164378049124,0.935837951140714,0.9135024483106605
17,0.7609584820969298,0.38937179099835667,0.9752192981049306,0.2738133558770421,0.5369597509628464,0.935304771373843,0.9195537173493654
18,0.7717292976200388,0.38854506448709714,0.9675157903472312,0.2738133558770443,0.5249445311023258,0.927805381737443,0.9146580156265852
19,0.7619947415645731,0.3876623886633291,0.9735568212119488,0.28325528315764525,0.5492374113562054,0.9311208103489831,0.9171753996080217
