,SVR,SGD,RF,EN,kNN,GBR,NN
0,2.5,31.8,26.8,0.5,7.0,27.6,48.1
1,1.8,35.0,17.9,0.2,6.2,32.7,43.4
2,3.2,34.2,31.6,0.0,9.8,24.0,49.9
3,2.1,29.7,20.2,0.0,8.1,29.0,48.5
4,3.4,34.4,21.8,0.0,8.7,28.6,43.1
5,1.2,31.4,17.0,0.0,4.5,27.6,43.8
6,2.9,40.2,23.2,0.0,7.1,43.6,48.0
7,3.4,34.7,28.3,0.0,5.0,23.0,42.2
8,2.5,33.2,28.7,0.0,6.2,28.6,43.4
9,3.7,36.5,17.2,0.0,6.8,25.3,45.2
10,3.2,29.9,23.9,0.0,8.3,26.7,43.1
11,2.2,32.6,19.4,0.0,5.4,28.6,38.9
12,1.6,32.5,16.0,0.0,5.0,24.2,38.7
13,1.9,35.0,25.3,0.0,3.1,30.4,45.9
14,1.3,25.7,20.1,0.0,6.6,22.9,41.3
15,8.1,28.3,25.4,0.7,10.3,30.9,44.6
16,4.9,33.6,29.7,0.0,9.5,33.8,45.6
17,1.6,33.5,9.6,0.0,2.9,15.5,42.1
18,3.3,33.3,27.2,0.5,7.3,30.6,45.0
19,0.5,38.0,17.9,0.0,2.4,31.2,44.0
