,SVR,SGD,RF,EN,kNN,GBR,NN
0,19.1,45.0,69.9,0.0,12.5,50.9,61.7
1,14.4,45.5,72.7,0.0,11.2,50.6,61.9
2,16.5,45.6,65.8,0.0,9.3,46.4,60.6
3,15.9,40.0,75.1,0.0,8.3,49.9,61.1
4,10.2,44.0,69.6,0.0,6.5,50.8,60.6
5,12.7,42.5,74.6,0.0,10.8,43.2,59.8
6,15.1,38.3,68.6,0.0,7.7,50.3,60.6
7,16.5,42.7,72.6,0.0,7.8,51.1,61.9
8,15.2,42.7,63.6,0.0,8.9,49.0,59.4
9,15.3,41.9,69.4,0.0,9.5,50.1,61.3
10,15.2,38.3,71.8,0.0,8.6,52.4,59.7
11,14.8,42.0,71.2,0.0,9.0,40.0,62.4
12,16.1,42.2,75.9,0.0,10.6,56.0,64.7
13,15.7,40.9,75.8,0.0,12.8,51.8,60.7
14,16.4,40.6,70.1,0.0,12.6,51.4,60.7
15,14.7,41.7,73.5,0.0,8.3,52.6,59.1
16,16.6,43.0,72.9,0.0,9.7,53.8,61.4
17,16.6,45.0,60.6,0.0,6.2,49.5,61.7
18,16.1,44.1,77.3,0.0,13.8,54.5,62.7
19,14.6,43.8,70.7,0.0,8.7,56.1,60.1
