,SVR,SGD,RF,EN,kNN,GBR,NN
0,9.1,34.4,42.4,0.0,6.6,37.5,57.5
1,7.2,42.9,36.0,0.0,4.9,44.9,53.2
2,10.0,41.0,50.2,0.0,10.5,53.8,53.2
3,6.0,39.0,29.6,0.0,7.7,41.1,53.4
4,10.0,35.7,51.8,0.0,9.9,51.8,54.3
5,8.9,38.6,40.8,0.0,7.1,37.1,52.1
6,11.1,36.3,37.7,0.0,4.9,37.8,52.4
7,6.6,37.1,51.1,0.0,9.3,40.5,58.2
8,10.0,44.6,55.5,0.0,13.3,42.0,55.2
9,6.3,37.8,48.4,0.0,6.6,32.2,54.8
10,7.8,42.3,49.8,0.0,7.1,45.9,54.8
11,4.9,43.9,48.4,0.0,5.9,40.0,57.6
12,6.7,37.4,54.3,0.0,7.1,35.4,52.8
13,9.7,41.3,49.4,0.0,10.2,37.4,55.4
14,7.0,34.7,48.7,0.0,6.9,46.8,52.7
15,12.2,41.2,42.9,0.0,9.8,51.5,59.2
16,12.3,42.1,45.2,0.0,9.6,48.8,55.5
17,12.3,39.1,49.2,0.0,9.4,50.6,56.5
18,6.7,37.4,47.5,0.0,6.3,33.2,54.2
19,12.0,37.4,51.8,0.0,11.9,56.2,57.7
