,SVR,SGD,RF,EN,kNN,GBR,NN
0,0.1,13.3,5.4,0.0,1.7,8.5,23.6
1,0.4,18.4,11.0,1.0,3.1,10.3,22.2
2,0.5,15.2,7.6,0.1,1.9,8.1,22.0
3,0.7,18.1,12.7,3.0,1.6,16.8,24.1
4,0.5,18.0,9.7,0.1,1.5,7.3,21.8
5,0.4,17.7,13.8,0.7,2.4,18.2,26.1
6,1.9,18.7,15.1,0.0,2.6,13.9,21.9
7,0.5,17.9,6.5,0.2,4.2,8.6,24.3
8,2.4,20.1,6.6,0.5,1.9,10.3,21.5
9,2.0,13.0,15.5,0.4,4.8,11.7,22.7
10,1.2,14.4,6.6,2.6,1.6,6.8,16.8
11,0.0,14.7,14.5,0.3,2.7,12.7,23.5
12,0.0,18.3,4.8,0.7,1.3,4.8,19.3
13,0.0,17.9,4.6,0.0,0.2,7.9,22.5
14,0.8,18.0,17.4,2.3,4.1,13.8,20.8
15,0.0,14.7,12.6,0.8,2.2,11.7,25.2
16,0.7,21.5,6.2,3.0,4.3,10.5,30.8
17,0.4,15.4,12.6,0.5,2.5,11.4,24.3
18,1.9,15.0,18.7,2.0,2.9,14.4,27.3
19,1.3,15.7,6.9,0.1,3.4,7.2,21.8
