,SVR,SGD,RF,EN,kNN,GBR,NN
0,1.9,34.4,28.6,0.0,4.1,27.7,47.8
1,4.0,41.3,34.9,0.0,5.1,30.0,50.5
2,3.4,36.1,32.4,0.0,2.2,30.3,46.2
3,3.7,34.6,30.6,0.0,4.5,31.4,50.5
4,4.3,40.0,19.2,0.0,4.1,29.6,49.5
5,4.1,35.6,27.3,0.0,10.6,35.8,49.8
6,5.3,34.9,29.8,0.0,4.6,36.3,50.8
7,6.7,37.1,31.3,0.0,9.1,35.2,49.4
8,3.0,37.0,34.7,0.0,7.1,36.4,45.9
9,2.4,34.7,36.4,0.0,7.3,39.4,53.0
10,2.7,36.0,33.0,0.0,7.8,36.7,49.4
11,1.2,38.9,29.4,0.0,4.6,33.8,51.7
12,1.0,36.0,22.0,0.2,3.2,37.4,46.8
13,2.3,37.9,36.3,0.0,10.2,37.5,54.6
14,5.4,35.5,36.2,0.0,6.9,40.4,51.2
15,3.4,33.1,28.6,0.0,4.9,32.3,51.2
16,7.7,43.3,35.6,0.0,6.8,36.6,49.2
17,4.1,37.9,34.2,0.0,5.0,38.6,50.1
18,4.9,34.7,29.9,0.0,7.7,43.1,51.6
19,5.9,37.3,40.9,0.0,7.4,35.1,49.9
