,SVR,SGD,RF,EN,kNN,GBR,NN
0,1.7,13.8,10.7,4.8,1.3,8.7,15.0
1,0.0,17.2,6.2,0.6,2.0,0.0,13.3
2,2.1,12.7,9.3,2.0,2.2,8.7,18.5
3,0.0,17.5,7.7,0.9,0.5,4.2,15.5
4,0.0,17.2,5.2,0.0,1.9,5.8,11.0
5,0.0,8.8,3.4,0.3,0.2,1.3,9.7
6,0.9,17.1,2.8,1.4,0.2,5.8,14.7
7,4.6,12.3,12.9,2.5,2.6,10.3,20.2
8,0.0,12.0,6.0,1.5,1.9,1.9,13.1
9,0.0,14.3,6.0,1.1,0.2,5.4,17.1
10,0.0,16.1,3.4,1.0,1.2,2.2,15.8
11,0.7,9.2,5.4,4.5,1.4,6.5,11.9
12,0.0,15.4,4.5,0.8,0.7,3.4,15.2
13,0.6,15.4,5.9,0.3,1.3,4.4,18.3
14,0.0,13.0,7.3,0.8,0.4,0.9,12.3
15,0.0,15.2,6.5,1.4,4.0,5.7,22.1
16,0.6,12.8,8.5,1.4,1.5,5.8,12.2
17,1.8,13.3,3.9,1.5,1.1,4.6,12.7
18,0.6,11.0,2.2,1.5,0.9,3.1,12.9
19,0.1,11.3,2.1,0.3,0.1,4.8,12.3
