,SGD,RF,GBR,NN
0,13.4,5.9,4.7,5.2
1,9.2,4.9,2.9,8.7
2,16.0,4.6,8.0,15.0
3,10.4,4.5,6.4,15.3
4,11.9,4.1,3.6,11.6
5,3.0,2.0,4.6,7.4
6,5.0,6.6,4.6,7.8
7,6.5,1.6,1.3,6.1
8,10.7,4.9,6.9,13.0
9,8.4,1.9,1.8,8.1
10,14.1,6.0,5.5,10.3
11,13.6,13.6,2.6,13.2
12,2.8,0.5,1.0,7.0
13,10.9,0.2,1.2,3.0
14,12.4,5.1,0.6,17.8
15,17.0,13.5,5.2,19.8
16,9.9,1.9,1.7,8.3
17,10.5,8.2,7.0,1.6
18,15.5,9.7,2.8,17.7
19,6.9,3.3,6.0,6.3
