,SGD,RF,GBR,NN
0,0.3399308897115276,0.4863219389755871,0.643454420461188,0.5031746822706281
1,0.35097755694997235,0.5055284732605101,0.6403694596897113,0.026894240259060922
2,0.3277665690102238,0.587422485016734,0.529437549583638,0.39439917887041337
3,0.347839625761348,0.6074987063020187,0.6389065288930975,0.5583536600696203
4,0.273426104490441,0.6068666204395482,0.6242888383405144,0.3093347356176943
5,0.35374882932265217,0.41908819590112084,0.5215333337161218,0.3696602758460669
6,0.22868500815033094,0.4406501195893486,0.5341218311381187,0.16742132676681837
7,0.35815914304663454,0.6757122310105624,0.7121677809533792,0.002487340081121832
8,0.34584207286500435,0.6218958426658948,0.6939800743838184,0.41102495695365365
9,0.37255859882363646,0.6666965781730526,0.7074712014979279,0.4452074658814812
10,0.29931458242404313,0.6407258957756518,0.7441388591522041,0.4783618573206366
11,0.37308801316558254,0.532569959275583,0.681470259944635,0.5714218003987874
12,0.3636069853033596,0.6930719912560297,0.6460087812717653,0.5407212407301362
13,0.2895810622712732,0.530026002195908,0.6290339404922597,0.4265563567552984
14,0.2679420973933826,0.5101581574798438,0.451496307345043,0.003353494344201249
15,0.3348490398306163,0.6152516842564627,0.6764171173658138,0.48940083087294245
16,0.28338864021579113,0.5010364867154307,0.5260364944179209,0.24498517187130317
17,0.35179819187823186,0.5122993041096957,0.5633035833973402,0.5749484687998242
18,0.3508123733110043,0.45902069622226616,0.7859412264500061,0.5758159908695291
19,0.3267357765047208,0.5900190390021135,0.6979741853879234,0.5614912633415713
