,SGD,RF,GBR,NN
0,6.6,2.9,1.5,7.9
1,16.9,5.6,5.1,10.0
2,8.6,3.5,0.0,7.0
3,8.1,3.4,0.7,9.6
4,11.4,2.9,4.8,11.0
5,12.2,1.5,4.0,11.1
6,16.2,4.3,5.7,6.1
7,12.5,5.7,6.5,10.0
8,6.7,5.1,5.0,9.1
9,8.7,2.6,4.6,4.0
10,10.7,2.9,3.9,4.4
11,18.6,8.4,7.6,15.3
12,17.6,4.3,1.6,6.4
13,14.0,5.5,1.2,6.4
14,8.8,2.8,3.9,11.9
15,12.9,3.7,1.5,7.8
16,10.8,0.8,4.2,9.0
17,9.7,1.3,4.6,6.6
18,12.5,2.0,2.3,9.4
19,16.1,12.3,6.8,10.2
