,SGD,RF,GBR,NN
0,0.38583686516468235,0.9351138299664479,0.9700555936614236,0.8969834831719286
1,0.3894958804348082,0.919089818623748,0.9757643144247801,0.8881380049479665
2,0.389314001143054,0.9162338766837048,0.9790647669284223,0.903838328137855
3,0.39264139792559954,0.8852761281540515,0.9707342651829587,0.9082557246754879
4,0.38909191413065686,0.8466340939292344,0.9422982102270977,0.9022996686910163
5,0.38813286206479397,0.8963958076019674,0.9756302444187364,0.8851289905503663
6,0.39011150585614235,0.9285666740044602,0.963389900254942,0.915066102743191
7,0.3897416697196001,0.9153714683394066,0.9732551383046592,0.8901185693103838
8,0.3912612859720447,0.8999874451250381,0.9849000672033729,0.9035574417256554
9,0.3903149509889843,0.9014575595554712,0.9696663133008504,0.9150773295410211
10,0.39030350656046425,0.8847101413459868,0.9709200508050592,0.90559656391346
11,0.39112416848221,0.8968256485456951,0.9843297341841444,0.9187513391341657
12,0.3897338615446355,0.9265865709503747,0.939841115082383,0.8974415450777409
13,0.391709942392398,0.915687746965585,0.9811157906289022,0.9188340317892084
14,0.39210863897259335,0.9162254494087105,0.9727630394090139,0.9107595138289538
15,0.3893648937865643,0.8918528902339453,0.9782341333270137,0.8410082340754259
16,0.39077602500764846,0.9025102619383023,0.9760335300858157,0.9208059733815249
17,0.3858367557268105,0.8741656026705407,0.9749842652321192,0.9040931232731542
18,0.3880838688604382,0.9038460667382097,0.9768404284503577,0.915125414043399
19,0.389144810994894,0.8911057596143064,0.9797795054567462,0.8887704960379073
