,50,200
0,27,4
1,0,34
2,8,0
3,0,35
4,0,7
5,26,10
6,0,0
7,0,15
8,0,0
9,0,0
10,7,0
11,21,19
12,0,11
13,0,0
14,17,9
15,5,0
16,0,15
17,6,60
18,0,0
19,31,0
