,SGD,RF,GBR,NN
0,14.3,3.5,8.2,11.0
1,13.1,2.1,5.7,14.1
2,14.7,1.1,1.0,8.0
3,10.8,3.8,0.4,5.5
4,10.4,0.6,1.3,14.6
5,10.1,1.3,5.6,15.6
6,8.4,0.6,1.5,10.0
7,11.5,3.6,5.8,10.9
8,9.8,3.8,0.2,6.2
9,12.2,2.1,3.4,8.4
10,9.1,0.9,0.9,6.1
11,5.6,2.9,1.9,8.4
12,11.6,4.9,4.5,7.4
13,11.4,2.1,1.2,12.9
14,12.2,1.2,0.1,11.2
15,8.1,5.5,1.3,9.5
16,12.3,1.4,2.3,12.2
17,9.0,1.2,4.7,8.4
18,8.4,1.2,1.1,6.3
19,4.9,4.3,3.3,2.9
